pmc_ID,country
PMC7992817,United States
PMC8102012,United States
PMC4135384,United States
PMC3376029,United States
PMC8554627,China
PMC7156646,Australia
PMC7378201,Germany
PMC7232092,China
PMC6256444,United States
PMC8353490,United States
PMC7751883,United Kingdom
PMC7793952,South Korea
PMC8811301,China
PMC3744440,Japan
PMC4222980,France
PMC7081776,Norway
PMC8215664,China
PMC8483717,China
PMC2990707,Chile
PMC4725818,Canada
PMC7686266,United States
PMC6298255,United States
PMC3904965,United States
PMC3278984,Austria
PMC5651703,China
PMC4741636,Italy
PMC7176356,Austria
PMC7609817,China
PMC4913914,Germany
PMC6890757,Japan
PMC4053812,Netherlands
PMC7887323,United States
PMC8777447,Switzerland
PMC7876402,China
PMC7557378,Israel
PMC6079643,Sweden
PMC6014326,Japan
PMC5585143,China
PMC7825617,South Korea
PMC3514682,United States
PMC7873889,China
PMC8111455,China
PMC8428968,China
PMC4060945,Japan
PMC6797513,China
PMC4871849,South Korea
PMC5123617,France
PMC8247596,China
PMC8526762,Australia
PMC7083023,Turkey
PMC4676492,United Kingdom
PMC7005119,United States
PMC8248343,China
PMC6441874,United States
PMC8205491,United States
PMC7053452,China
PMC7913926,Spain
PMC4520551,Ireland
PMC4959518,Belgium
PMC6803461,Spain
PMC5430464,Japan
PMC8237386,China
PMC6834428,China
PMC3970219,United States
PMC4583625,China
PMC8583988,France
PMC3784563,United States
PMC3852516,China
PMC6584731,Canada
PMC7337521,Canada
PMC4979008,China
PMC6009053,Denmark
PMC5343497,Poland
PMC4899171,Canada
PMC6794874,China
PMC5598236,Germany
PMC4648445,Italy
PMC6717262,United Kingdom
PMC4384492,United States
PMC5015926,Georgia
PMC5431224,Japan
PMC4359163,Switzerland
PMC7060977,Germany
PMC7226379,South Korea
PMC4513874,Denmark
PMC1134654,United States
PMC6142327,Spain
PMC4334874,Germany
PMC3789891,Italy
PMC3245846,United States
PMC4447352,United States
PMC7713251,Spain
PMC6401981,Brazil
PMC8504527,China
PMC8431771,France
PMC6802586,China
PMC5121142,South Africa
PMC6749650,China
PMC6072188,China
PMC5601403,United Kingdom
PMC8886129,China
PMC4031077,Israel
PMC8545947,China
PMC7495044,France
PMC7807820,Spain
PMC8213788,United Kingdom
PMC8734300,South Korea
PMC7242682,United States
PMC5595863,Japan
PMC4418687,United States
PMC8856558,France
PMC5716071,Italy
PMC6079222,Czech Republic
PMC8585077,Italy
PMC3964593,United States
PMC5538436,United States
PMC8267895,China
PMC5697878,Japan
PMC6864349,China
PMC7508919,China
PMC5810475,United States
PMC5114598,Australia
PMC7338795,China
PMC7894305,United States
PMC8142586,United States
PMC7314937,China
PMC4324535,United States
PMC4685087,Poland
PMC7762660,China
PMC7070436,Israel
PMC7657844,China
PMC7971285,South Korea
PMC5983209,Switzerland
PMC5881016,China
PMC4912747,Sweden
PMC6690841,United Kingdom
PMC8206642,China
PMC6370634,United States
PMC3597320,United States
PMC7899950,China
PMC7970362,United States
PMC5831082,United States
PMC8826729,China
PMC7845134,Netherlands
PMC6471025,Italy
PMC6852540,United States
PMC8535744,China
PMC4356470,Sweden
PMC8312744,United States
PMC3643912,China
PMC6719696,United States
PMC4928129,China
PMC4972405,United Kingdom
PMC5288354,China
PMC6244222,United States
PMC7093110,India
PMC6691273,China
PMC6620300,United States
PMC7010774,Estonia
PMC6778433,Russia
PMC6715156,United States
PMC7176737,United States
PMC8356008,China
PMC4814446,Canada
PMC7754069,China
PMC4139025,Malaysia
PMC5891936,United States
PMC8516894,Sweden
PMC6234840,United States
PMC6579864,Spain
PMC8876429,France
PMC8660792,France
PMC8245105,China
PMC3978701,United States
PMC4856933,China
PMC6262179,Japan
PMC5946474,China
PMC7724679,United States
PMC8557886,Italy
PMC5731918,Singapore
PMC7445054,Japan
PMC4560762,Poland
PMC5805679,Netherlands
PMC3295383,Finland
PMC7336700,United States
PMC7387673,Germany
PMC8225247,United States
PMC5509234,Germany
PMC5553718,Japan
PMC6949293,United States
PMC8719456,China
PMC8393675,Italy
PMC8217550,Japan
PMC7409661,United States
PMC8849519,United States
PMC4237438,Australia
PMC4664553,United States
PMC6539991,China
PMC6969024,United States
PMC8509761,Germany
PMC6456299,Germany
PMC7317822,Saudi Arabia
PMC6146658,China
PMC8702168,United States
PMC7688135,China
PMC8256542,Italy
PMC4051754,United States
PMC5683046,United States
PMC5938556,Denmark
PMC7838103,Canada
PMC6610342,China
PMC8381472,Russia
PMC7476103,United States
PMC3661725,United States
PMC7196800,Switzerland
PMC8525912,United States
PMC5541269,Canada
PMC7429875,South Korea
PMC5989353,Italy
PMC2743671,South Korea
PMC6086935,Belgium
PMC8141830,Japan
PMC6456248,China
PMC6940909,Italy
PMC8609338,France
PMC7425812,United States
PMC7761003,United States
PMC8027873,Sweden
PMC3730059,Germany
PMC5836058,China
PMC7284928,United States
PMC8637448,Sweden
PMC8500089,United Kingdom
PMC4435100,Netherlands
PMC8327089,China
PMC6995654,Spain
PMC6916030,China
PMC6312927,China
PMC6486639,Canada
PMC7522121,Italy
PMC3564850,United States
PMC5351587,United States
PMC4694891,Italy
PMC4132098,Australia
PMC3556335,Italy
PMC6448028,Spain
PMC5458548,United States
PMC8553949,United States
PMC7468867,China
PMC7329456,Switzerland
PMC4022727,China
PMC7464472,Poland
PMC8813743,China
PMC7708478,Peru
PMC6401143,Spain
PMC5907310,France
PMC7280444,China
PMC5868818,Australia
PMC4116496,United States
PMC5204334,United States
PMC6279331,France
PMC8536680,Australia
PMC4645175,Austria
PMC6214654,United States
PMC7827980,China
PMC5785843,China
PMC8492712,Bangladesh
PMC4145683,Canada
PMC7428247,United States
PMC5988513,Germany
PMC3038171,United States
PMC7579998,Canada
PMC4290683,Australia
PMC5299730,Spain
PMC3311077,France
PMC3055866,United States
PMC3812053,United States
PMC4608100,France
PMC3841246,United States
PMC4657372,Chile
PMC6890440,Japan
PMC3602204,United States
PMC5412944,Australia
PMC2875237,United States
PMC6393464,Italy
PMC7594059,Australia
PMC8535795,Germany
PMC6707380,United States
PMC8602354,China
PMC5400096,Australia
PMC8491607,China
PMC5325289,Israel
PMC8143317,France
PMC6691505,United States
PMC6722669,China
PMC8588681,Sweden
PMC6970539,China
PMC4448690,Singapore
PMC3823651,United States
PMC6161392,United States
PMC8251598,Italy
PMC7845642,United States
PMC7778268,United States
PMC6852236,United States
PMC6707855,United States
PMC3483550,Germany
PMC8130860,United States
PMC4510604,Canada
PMC4818882,Italy
PMC7261190,United States
PMC7816457,China
PMC2700136,United States
PMC8098995,China
PMC6887119,United States
PMC8399088,Spain
PMC5008291,Sweden
PMC8830346,China
PMC7326283,United States
PMC7533594,China
PMC4790710,United States
PMC2065909,United States
PMC4592187,United States
PMC7738848,China
PMC7426575,South Korea
PMC5333637,Japan
PMC3680220,Spain
PMC4395330,United States
PMC6067734,Spain
PMC4618452,Japan
PMC7767648,South Korea
PMC6055023,United States
PMC7306034,Hungary
PMC7935518,China
PMC6089435,United States
PMC4482638,Italy
PMC6075941,United Kingdom
PMC8103545,China
PMC6006591,China
PMC4170638,Netherlands
PMC3790238,United States
PMC8372370,China
PMC2685453,India
PMC5506430,United States
PMC6549322,China
PMC8708795,China
PMC2689434,Canada
PMC7136613,United States
PMC5884799,United Kingdom
PMC4685056,Singapore
PMC8065506,Slovenia
PMC7971254,China
PMC6097655,United States
PMC8601620,United States
PMC3731278,United States
PMC4157742,United States
PMC7511865,China
PMC7336417,China
PMC7538199,Japan
PMC8113476,United Kingdom
PMC7072074,China
PMC6155108,Brazil
PMC6772108,Netherlands
PMC8047322,China
PMC6998412,Australia
PMC6180227,Germany
PMC4726209,Japan
PMC6550528,United States
PMC8034380,United States
PMC8549224,United States
PMC3873697,Australia
PMC6004102,Spain
PMC3411835,France
PMC6457069,China
PMC6976713,India
PMC6247020,Germany
PMC6460020,China
PMC3861490,China
PMC5467019,China
PMC7495095,France
PMC5792509,United States
PMC8703398,China
PMC8536546,United Kingdom
PMC5613172,United States
PMC4569899,China
PMC3672075,United States
PMC5385489,Japan
PMC7716279,China
PMC4762545,United States
PMC5480421,United States
PMC4169795,China
PMC4665004,Norway
PMC4792383,South Korea
PMC8714166,China
PMC6597872,China
PMC6977153,Netherlands
PMC3493463,United States
PMC6990919,China
PMC7834273,France
PMC4676443,Canada
PMC7305540,China
PMC4378937,United States
PMC6056925,China
PMC4719339,Belgium
PMC6486258,United States
PMC6826159,United States
PMC7235048,United States
PMC7933732,China
PMC8746294,Japan
PMC2877103,United States
PMC5934626,China
PMC8268682,Croatia
PMC2938369,Japan
PMC6412165,Japan
PMC8244820,United States
PMC8100031,United Kingdom
PMC7646841,China
PMC7901782,United States
PMC8860380,France
PMC8322411,United States
PMC3673635,China
PMC6122713,Japan
PMC7037178,Ireland
PMC3989490,Portugal
PMC6995592,Japan
PMC2804606,Italy
PMC4973152,Japan
PMC6003109,China
PMC3905853,China
PMC7367157,United States
PMC7963432,China
PMC4345320,China
PMC4469606,China
PMC7521455,United States
PMC6362083,Canada
PMC4772017,United States
PMC4487975,United States
PMC3575351,Switzerland
PMC7145905,China
PMC7023293,China
PMC4871898,United States
PMC6981679,Belgium
PMC8790709,United Kingdom
PMC2909919,Netherlands
PMC3692446,China
PMC3567156,Germany
PMC3218665,United States
PMC2659424,China
PMC4689822,South Korea
PMC3162576,Australia
PMC7240106,Netherlands
PMC5372244,United Kingdom
PMC8057670,United States
PMC7272611,France
PMC4920892,United Kingdom
PMC3925131,United States
PMC8401045,South Korea
PMC8189079,China
PMC3630172,United States
PMC8127958,China
PMC6430320,Germany
PMC7661128,China
PMC8110563,United States
PMC4546089,United States
PMC8786862,India
PMC8110911,China
PMC7439293,United States
PMC8091118,United States
PMC7176420,United States
PMC5527301,Canada
PMC6471495,China
PMC7176852,China
PMC6256495,United States
PMC8300654,South Korea
PMC2394514,Australia
PMC8044237,South Korea
PMC7148350,United States
PMC6975606,China
PMC8394569,United Kingdom
PMC7002664,Germany
PMC5870852,Israel
PMC8507344,China
PMC6923898,United States
PMC8519683,China
PMC4510265,Belgium
PMC6872892,United States
PMC3102634,Czech Republic
PMC7315012,United States
PMC6220650,Spain
PMC8571626,Belgium
PMC5578838,United States
PMC7656458,China
PMC3017839,Canada
PMC6078999,South Korea
PMC3897683,Japan
PMC8353178,China
PMC6771956,China
PMC8756558,Japan
PMC7852243,United States
PMC8425172,United States
PMC3753356,Japan
PMC8146511,Canada
PMC7719195,Canada
PMC2949600,China
PMC3171408,Germany
PMC7443031,China
PMC8119763,China
PMC6200895,United States
PMC8348834,Spain
PMC7648638,Poland
PMC8486206,Japan
PMC5409150,Japan
PMC6730536,China
PMC8635990,Japan
PMC4444008,India
PMC5627965,India
PMC8441489,United States
PMC7007403,China
PMC7586306,China
PMC8688884,Germany
PMC6232825,Croatia
PMC8818677,China
PMC5468452,Brazil
PMC6358801,Poland
PMC8032755,Japan
PMC2630914,United States
PMC8068279,United Kingdom
PMC4623524,South Korea
PMC8523273,China
PMC4382096,United States
PMC2994824,United States
PMC7996093,Brazil
PMC6385182,China
PMC4973819,United Kingdom
PMC4352895,France
PMC4631084,Netherlands
PMC6355981,United States
PMC4948837,United States
PMC6431059,Argentina
PMC5416902,Norway
PMC6379723,United Kingdom
PMC6742801,United States
PMC8790230,China
PMC5395345,United States
PMC4986254,Brazil
PMC6414217,United States
PMC7599081,Canada
PMC8328704,China
PMC4028053,United States
PMC8134454,Germany
PMC5134101,United States
PMC3585709,China
PMC6856270,United States
PMC6540543,China
PMC5369996,Israel
PMC6861239,Italy
PMC6712773,United States
PMC8019229,Japan
PMC7862201,Denmark
PMC8887954,United States
PMC8466192,China
PMC7768662,United States
PMC4030478,United States
PMC6696456,Netherlands
PMC3836977,China
PMC5938378,Spain
PMC6720064,Netherlands
PMC4035326,United States
PMC3637832,Poland
PMC7578555,South Korea
PMC7527727,United States
PMC3730101,Netherlands
PMC8865640,Switzerland
PMC6897513,United States
PMC3877965,United States
PMC8845350,United States
PMC5698356,United States
PMC8828635,China
PMC5821459,United States
PMC8872319,India
PMC5153248,United States
PMC8454122,United States
PMC6901431,China
PMC7341735,United States
PMC6356341,Spain
PMC4955730,China
PMC7000408,Sweden
PMC4914085,Denmark
PMC3164604,United States
PMC8435420,China
PMC8809917,China
PMC6920761,Germany
PMC6349761,China
PMC5385617,China
PMC6280396,Sweden
PMC6567058,China
PMC4974460,United States
PMC7547465,China
PMC8649395,United States
PMC7701219,China
PMC6819550,Australia
PMC7518617,United States
PMC8018469,China
PMC3981777,China
PMC5599639,United States
PMC6760191,United States
PMC7874118,China
PMC6888133,China
PMC3108953,Japan
PMC4362302,Finland
PMC7795124,Spain
PMC5868295,Belgium
PMC6585499,Finland
PMC7369889,France
PMC4121220,United States
PMC8649840,Germany
PMC6523714,Germany
PMC8695024,China
PMC8438207,China
PMC3958398,China
PMC7893952,China
PMC4524600,China
PMC2577010,France
PMC5311958,France
PMC7506805,Germany
PMC5545588,Japan
PMC7470975,Switzerland
PMC7759873,United States
PMC7067487,United States
PMC6943157,China
PMC8416444,China
PMC7190700,United States
PMC6370809,China
PMC8408183,United States
PMC3001494,South Korea
PMC7755814,Brazil
PMC6290502,United States
PMC4815049,Canada
PMC6431438,China
PMC7565994,China
PMC5807363,China
PMC8308675,Thailand
PMC6011983,China
PMC6770705,United States
PMC3787258,United States
PMC5655033,China
PMC8045288,Iran
PMC8270824,Australia
PMC8457456,Finland
PMC5167775,France
PMC8134035,China
PMC3033424,Japan
PMC8377117,United States
PMC7677369,Germany
PMC8452308,United States
PMC6805876,South Korea
PMC6868161,United States
PMC7825039,United States
PMC2704963,United States
PMC6023933,United States
PMC5465614,South Korea
PMC7187259,Japan
PMC8487027,China
PMC6092840,Poland
PMC5679544,China
PMC7101363,China
PMC7919924,France
PMC3316937,Austria
PMC7873900,China
PMC7714474,Denmark
PMC8740220,China
PMC6212526,Austria
PMC7801437,Israel
PMC3960165,United States
PMC3178750,United States
PMC6454024,France
PMC7217880,United States
PMC6612658,China
PMC7253419,China
PMC5705679,United Kingdom
PMC7529806,China
PMC3041561,South Korea
PMC7573158,Italy
PMC3348177,United States
PMC6686917,China
PMC7564873,Spain
PMC4607939,China
PMC6010416,Germany
PMC6435281,United States
PMC1481623,Netherlands
PMC5102369,United States
PMC4361676,Japan
PMC5083712,China
PMC3166942,United States
PMC6427721,China
PMC8764189,China
PMC5990873,China
PMC8654481,China
PMC4171541,United States
PMC6478921,United States
PMC4392602,Australia
PMC5199126,Norway
PMC3124437,United States
PMC7884418,China
PMC7689948,China
PMC6316172,Italy
PMC7941088,China
PMC5958829,China
PMC8011731,India
PMC6795468,United States
PMC5577159,China
PMC7297383,United States
PMC5370449,Germany
PMC6634971,United Kingdom
PMC7218227,United States
PMC6114042,Spain
PMC5886987,Australia
PMC6839853,India
PMC5397071,United States
PMC8042283,United States
PMC5062913,Czech Republic
PMC7912948,United States
PMC4303261,South Korea
PMC6341279,Spain
PMC7546644,Chile
PMC6972755,United Kingdom
PMC5719899,China
PMC8722190,China
PMC8415551,Austria
PMC8836034,Argentina
PMC3840698,Norway
PMC6456771,China
PMC4887298,United States
PMC8458283,India
PMC6921540,Spain
PMC8164492,Estonia
PMC5648893,United States
PMC8253053,Canada
PMC7566881,Canada
PMC3644083,Japan
PMC6437273,Germany
PMC2517094,Germany
PMC8093715,United States
PMC8273931,Germany
PMC3903495,United States
PMC6281610,United States
PMC7325108,China
PMC6146417,Singapore
PMC4493013,United States
PMC5435966,United States
PMC2754611,United States
PMC8212041,China
PMC3322419,United States
PMC7588055,United States
PMC7181412,China
PMC2268000,Switzerland
PMC5882899,Sweden
PMC8583801,Germany
PMC6325782,China
PMC8322549,China
PMC7761999,Russia
PMC6889464,China
PMC7725500,United States
PMC7102972,United Kingdom
PMC8327913,United States
PMC7376819,United States
PMC7453674,China
PMC3698444,United States
PMC517825,United States
PMC7486929,China
PMC6803539,China
PMC6753476,Germany
PMC6834570,Canada
PMC3132058,Japan
PMC8553774,Norway
PMC4381533,United Kingdom
PMC7643931,United States
PMC5388480,Germany
PMC4019546,United States
PMC3035519,Austria
PMC7171205,Japan
PMC3938818,United States
PMC5751311,China
PMC8446032,Germany
PMC4813174,China
PMC7936642,Japan
PMC3702501,United States
PMC8117346,China
PMC4632286,Spain
PMC7578642,Brazil
PMC4997251,China
PMC6842959,United States
PMC4132902,South Korea
PMC6563251,Norway
PMC8664860,Israel
PMC7705010,China
PMC1803011,United States
PMC4140847,United States
PMC5817147,Saudi Arabia
PMC8133748,South Korea
PMC5922311,Israel
PMC5809480,Japan
PMC3157444,United States
PMC3817542,United States
PMC5455120,Australia
PMC8216629,United Kingdom
PMC4856078,China
PMC6155081,United States
PMC3314566,Italy
PMC5829637,United States
PMC6179251,Israel
PMC8770514,Japan
PMC7713309,South Korea
PMC6090863,Italy
PMC2726785,United States
PMC8479102,Canada
PMC6328174,China
PMC5389567,United States
PMC5759268,United States
PMC4841953,Japan
PMC8426370,China
PMC7428008,United States
PMC7324799,United States
PMC7111147,China
PMC5604205,Italy
PMC4406218,China
PMC8812899,Spain
PMC7180283,Russia
PMC7333567,United States
PMC4470996,Japan
PMC6925328,United States
PMC8572424,Spain
PMC7413026,Canada
PMC7378359,China
PMC8368994,United States
PMC8041892,Switzerland
PMC6358764,China
PMC6186997,Saudi Arabia
PMC7217851,Australia
PMC5741643,Sweden
PMC4235654,United States
PMC5135824,South Africa
PMC4776080,Ireland
PMC3048289,Ireland
PMC6156194,Spain
PMC8811259,China
PMC7183431,United States
PMC7561429,Germany
PMC3530473,China
PMC6857727,United States
PMC3507848,United States
PMC4110735,United States
PMC7556812,United States
PMC8041347,United States
PMC8417900,United States
PMC7719282,China
PMC7758537,China
PMC8329986,Germany
PMC5732146,United States
PMC5838957,United States
PMC3522674,Singapore
PMC7043058,China
PMC8619382,Germany
PMC8476070,China
PMC7268341,Poland
PMC6992862,New Zealand
PMC5639460,Israel
PMC3783430,United States
PMC8094068,South Korea
PMC4312605,China
PMC5522271,South Korea
PMC7173922,United States
PMC3618335,France
PMC4787006,France
PMC3827500,United States
PMC7462076,Belgium
PMC5408407,United States
PMC8138724,United States
PMC5377334,South Korea
PMC8324474,China
PMC8179091,United States
PMC5562851,China
PMC6011520,United States
PMC8203382,China
PMC7910519,United States
PMC3399842,United States
PMC6323118,China
PMC6221307,China
PMC8357371,China
PMC7789706,Germany
PMC3308053,United Kingdom
PMC8289578,China
PMC7524525,China
PMC7907040,South Korea
PMC4991868,United Kingdom
PMC6993250,China
PMC8308103,China
PMC7767875,India
PMC6608985,United Kingdom
PMC3986819,United States
PMC3749498,France
PMC8884724,United States
PMC8359785,United States
PMC2528966,United States
PMC7585565,Czech Republic
PMC8876903,China
PMC7297733,United Kingdom
PMC6280347,Italy
PMC2718494,United States
PMC8552555,China
PMC4699898,United States
PMC3677916,Norway
PMC4718091,United States
PMC6262021,Italy
PMC6436083,China
PMC6013614,Brazil
PMC5649611,China
PMC7111526,United States
PMC7238852,China
PMC3792896,United States
PMC4779234,Switzerland
PMC5978989,Germany
PMC6399466,India
PMC6555039,China
PMC8873588,Canada
PMC5492469,China
PMC3988738,Spain
PMC4160936,Japan
PMC5595128,China
PMC6060111,Australia
PMC6395873,Switzerland
PMC7937463,China
PMC3572115,China
PMC4406679,United States
PMC5832768,China
PMC4938523,Finland
PMC7005852,United States
PMC7181705,China
PMC3500050,United States
PMC4322581,United Kingdom
PMC8419186,China
PMC6658531,United States
PMC8063911,United States
PMC5722075,United Kingdom
PMC5629553,United States
PMC4509994,United States
PMC7744463,Denmark
PMC7700488,China
PMC6305622,United States
PMC4548253,China
PMC6859474,Australia
PMC3793503,China
PMC3256938,United States
PMC7709416,China
PMC8730727,United States
PMC3378585,China
PMC5751770,China
PMC8125030,France
PMC3763462,India
PMC3804564,Spain
PMC7732438,China
PMC4694918,Singapore
PMC8144940,China
PMC7048827,United Kingdom
PMC7935491,Germany
