SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
SRP111833	GSE101341	29535194	PMC5850328
ERP108370			
SRP062170	GSE71840	27780967	
ERP114122			
SRP162020	GSE120109	30692590	PMC6349857
SRP041755	GSE57401	28396539	PMC5426967
SRP153370	GSE117074	30699351	
SRP069976		27631090	PMC5025153
SRP143528	GSE113811	29899446	PMC6130914
SRP033199			
SRP117688	GSE103868	29122982	
ERP006538			
SRP043364	GSE58604	26590343	PMC4694561
SRP135872	GSE111938	31057555	PMC6478819
SRP115241			
SRP126743			
SRP045418	GSE60287	27029818	PMC4814823
SRP043217	GSE58492	28348226	PMC5393192
SRP067922	GSE76326	28548877	PMC5529077
SRP048993			
SRP077036			
SRP077469	GSE83808	28630090	PMC5543699
SRP049040	GSE62488	25765449	PMC4349310
SRP151780	GSE116521	30425508	PMC6203107
SRP010102		23236062	PMC3571481
SRP051628	GSE64590	25956916	PMC4424892
SRP065891	GSE74762	29100014	PMC5778452
DRP002435			
SRP156790	GSE118322	30185635	PMC6170167
ERP006662			
SRP051583	GSE64529	26751641	
SRP130009			
SRP051182	GSE63900	26578681	PMC4659474
SRP105951			
SRP035988	GSE54456	32132203	PMC7084068
SRP017191	GSE42314	25208476	
ERP021420			
SRP010104	GSE34853	23966636	
ERP022266			
SRP071314	GSE79011	31959799	PMC6971257
SRP063054	GSE72577	27892494	PMC5125100
SRP140536	GSE113198	31428694	PMC6689007
SRP130024			
SRP052950	GSE65420		
SRP051626	GSE64588	25903797	PMC4415216
SRP049326	GSE62760	26546062	PMC4635574
SRP153899	GSE117150	30190374	PMC6241268
SRP076520	GSE83323	27365498	PMC5179927
SRP037986	GSE53960	25977771	PMC4381750
ERP006867			
SRP145128	GSE114260	29963233	PMC6021239
SRP152473			
SRP040034			
SRP074717			
SRP129829	GSE108204		
SRP028696	GSE49708	24204712	PMC3804491
SRP109152			
ERP013801			
SRP069777			
ERP006055			
SRP114621			
SRP052323	GSE64778	26177368	PMC4503719
SRP006810	GSE29379	22361011	PMC3337288
SRP067088	GSE75772	27242522	PMC4868850
SRP049818	GSE63309	26367423	PMC4569390
ERP022251			
DRP003800		28827343	PMC5594651
SRP149205			
SRP099599	GSE94869	28640357	PMC5626593
ERP020504			
SRP006893		22864914	PMC3421215
SRP043388	GSE58640	30578870	PMC6556402
ERP110885			
SRP111820	GSE101398	29529099	PMC5846732
SRP180975			
SRP099016			
SRP135563	GSE111799		
SRP119053	GSE104379	31085557	PMC7080409
SRP040814	GSE56467	24846209	PMC4028184
SRP051659	GSE64620	28025595	PMC5153505
SRP103782	GSE97608	29276487	PMC5727020
SRP006380	GSE21180	21543516	PMC3129258
SRP096633	GSE93543	28977666	PMC5737555
SRP149573	GSE115242	31266962	PMC6606648
SRP045501	GSE60426	25263593	PMC4292926
SRP168234	GSE122325		
ERP010821			
SRP061095	GSE70889	28749988	PMC5549759
SRP107775	GSE99153	30323344	
SRP098682	GSE94366	28653111	
ERP010095			
ERP009695			
SRP076394	GSE83152	28100173	PMC5242038
SRP108563		28703416	PMC5787841
SRP075490	GSE81709	29716548	PMC5930951
SRP029895			
SRP037727	GSE54932	25242323	
SRP092482			
SRP050050			
ERP004683			
SRP010350	GSE35126	22396588	PMC3311343
SRP075525	GSE81724	28356392	PMC5413328
DRP001187		26348038	PMC4562633
SRP073310	GSE80284	28405523	PMC5384347
SRP072415			
SRP149160	GSE115006	29967419	PMC6028641
SRP126576		29271803	
SRP070436	GSE78008		
ERP001921			
SRP117681	GSE103798	31063757	
ERP015011			
SRP073206	GSE80207	27245205	PMC4887990
SRP106502	GSE98575	28878135	PMC5621902
SRP022028	GSE46562	27846841	PMC5111260
SRP126749			
SRP061355	GSE71133	27184839	
SRP001554	GSE18250	19903869	PMC2798332
SRP043707	GSE58978	28008941	PMC5180236
SRP109153			
SRP035620	GSE54338		
SRP128590	GSE108978	29304191	PMC6001891
SRP061570			
SRP070882	GSE78702	27019136	PMC4925824
GSE44039	E-GEOD-44039	24875481	PMC4066785
ERP009900			
SRP063876	GSE73216	26438361	PMC4612085
SRP157894	GSE118514	30296942	PMC6176514
SRP166099	GSE121478	30721153	PMC6482995
SRP028962	GSE50063	24363811	PMC3867309
ERP105942			
SRP151104			
SRP068639	GSE76998		
SRP148855	GSE114856	31844057	PMC6914800
SRP068103	GSE76552	27252784	PMC4888662
SRP106807	GSE98777	28775827	PMC5539636
SRP063329		25809150	
SRP068989	GSE77324	27344374	
ERP009858			
SRP075823	GSE81995	28097054	PMC5234438
SRP048983	GSE62424	25426020	PMC4227287
SRP040578	GSE56238	26356038	PMC4637272
ERP013381			
SRP049944			
SRP139810	GSE113071		
SRP045659	GSE60581	25540362	PMC4325751
SRP016110			
SRP070944	GSE78747	28778989	PMC5584112
SRP023266	GSE47474	23874651	PMC3712985
SRP049440	GSE62902	25958198	PMC4456707
SRP044222	GSE59285	24993824	PMC4156089
SRP044785	GSE59725	25270668	
SRP059670	GSE70022	29546410	PMC5934623
ERP005431			
SRP155005	GSE117599	32375678	PMC7201963
SRP017813	GSE43348	24204712	PMC3804491
SRP070646	GSE78151	27173133	PMC4865983
SRP055027	GSE65926	25921068	
DRP004519			
ERP006165			
SRP136747			
SRP044873	GSE59784	25745177	PMC4506746
SRP067005	GSE75714		
SRP128121			
ERP009255			
ERP004042			
SRP053398	GSE65774	26900923	PMC5984042
SRP074389	GSE81125	28053090	PMC5314158
ERP109065			
SRP110347			
SRP059042	GSE69545	27376549	PMC4931909
SRP029332	GSE50424	24104204	
SRP185603			
ERP109889			
SRP050140	GSE63418		
ERP107759			
SRP108414	GSE99536	29608984	PMC5930000
SRP155332	GSE117686	30853961	PMC6396728
SRP043671	GSE58916	25862761	PMC4506243
SRP163043	GSE120706		
ERP104395			
SRP136689			
SRP058205	GSE68768		
SRP051580	GSE64526	26214373	PMC4763340
SRP061243	GSE71012	26149387	PMC4539381
SRP167719	GSE122118	30733432	PMC6367455
SRP159100			
SRP061538	GSE71295	26184917	PMC4809261
SRP066454			
SRP038761	GSE55271	24736642	PMC3988043
SRP091675	GSE88848	28356702	PMC5360456
SRP017324	GSE42550	25635113	PMC4348770
SRP058396	GSE68958	26808730	PMC4726605
SRP125175	GSE107045	30930145	PMC7137093
ERP024373			
SRP102073	GSE75575	26678836	PMC4683714
SRP162318	GSE120287	30482867	PMC6328940
SRP154005	GSE117193	30742096	PMC6546609
SRP117172	GSE103646	28972008	PMC5826717
SRP048907			
SRP056340	GSE67071		
SRP141444	GSE113476		
SRP109662	GSE100203	29378795	PMC5865034
SRP162586	GSE120439	31169889	PMC6582409
SRP019243	GSE44898	23613580	PMC3651473
SRP055119	GSE66021		
SRP065204	GSE74253	29552290	PMC5844726
SRP009197	GSE33379	24510705	PMC3924388
ERP003740			
SRP078058	GSE84139	27856912	
SRP045805	GSE60808	25645357	PMC4424268
SRP115815	GSE102812	29255294	PMC5735185
SRP052165	GSE64947		
SRP047171	GSE61462	25446897	PMC4254577
SRP059843	GSE70243	27580035	PMC5161694
SRP056625	GSE67355	26924576	PMC4808443
SRP125977	GSE107611	30232013	
SRP087657	GSE86608	28493991	PMC5426663
SRP072131	GSE79463	28878246	PMC5587550
DRP004383			
SRP136195	GSE112155	29321650	PMC5762683
SRP002400	GSE21580	20615900	PMC2938216
SRP067253	GSE75909		
ERP016192			
SRP061948	GSE71674	27281218	PMC4911307
ERP012876			
SRP124641	GSE106696		
SRP004084	GSE25032	21051541	PMC3020728
SRP167686	GSE122093	30822341	PMC6415868
SRP057628	GSE68229		
ERP085746			
SRP106788	GSE98734	29391536	PMC5794922
SRP189993	GSE128992	30948627	PMC6493978
SRP045264	GSE60101	25103404	PMC4412442
SRP061639	GSE71382	26490963	PMC4705648
SRP049139	GSE62571	26571461	PMC5392243
SRP056865	GSE67556	26140685	PMC4512258
SRP191771	GSE129570	31813826	PMC6915803
SRP144009	GSE113848		
SRP192719			
SRP111371		30565271	PMC9189898
SRP047132	GSE61425	25288398	PMC4203942
SRP168154			
SRP174485	GSE124381	32582206	PMC7295940
SRP051382	GSE64370	26361796	PMC4659533
SRP121524			
SRP076864	GSE83577	27749922	PMC5066966
SRP098975			
ERP107429			
SRP098915	GSE94555	27942595	PMC5135277
SRP040560			
SRP163355	GSE120805	30395761	
SRP045369	GSE60243	26976640	PMC4836215
SRP030475	GSE51217	24213537	
SRP065146			
SRP036025	GSE54461	28869591	PMC5621629
SRP197110	GSE130905	31269210	PMC6895279
SRP050515			
SRP095744			
SRP049366	GSE62795	26716013	PMC4681352
SRP066016	GSE74886	26949739	PMC4776331
SRP018837	GSE44615	23481595	PMC3677277
SRP064738	GSE73941	26863410	
DRP002315			
ERP107000			
SRP200424	GSE132194	31704972	PMC6841924
SRP010105	GSE34852	23966636	
SRP065310	GSE74383	28695110	PMC5483589
SRP066005	GSE74868	26590320	PMC4739765
SRP107212	GSE98958	31271689	
SRP092767	GSE89601	28383698	PMC5499651
SRP074420	GSE81148	27294782	
SRP057721	GSE68323	26601949	PMC4714233
SRP170544	GSE122873	30445587	PMC6423425
SRP024277			
SRP072106	GSE79352	31825839	PMC6915326
SRP068229	GSE76663	28963481	PMC5622042
SRP095549	GSE92835	27891144	PMC5104908
SRP151846	GSE116567	30420752	PMC7001730
ERP013322			
ERP023744			
SRP053274			
SRP096784	GSE93636	28345629	PMC5366898
SRP127585	GSE108545	30333494	PMC6193001
GSE83317	E-GEOD-83317	29755654	PMC5945521
SRP182854	GSE125866	31467541	PMC6699286
SRP115571	GSE102741	28485729	PMC5534955
SRP126442			
SRP132889	GSE110626		
SRP065491	GSE74484	26853473	PMC4752889
SRP097469	GSE93902	28232744	PMC5599326
ERP022084			
SRP050331	GSE63700	26657335	PMC4849803
SRP103919	GSE97776	28718511	PMC5787840
SRP186786	GSE127005	31053654	PMC6648660
SRP072935	GSE79985	27679507	
SRP064318	GSE73574	26483456	PMC4640733
SRP173428	GSE123835	31183075	PMC6555941
SRP001563	GSE16921	22019781	PMC3576853
SRP083310	GSE86201	27760122	PMC5070833
SRP071806	GSE79256	27225120	PMC5021195
SRP166888			
SRP090209			
SRP057766	GSE68378	26588041	PMC4845657
ERP008992			
SRP055513	GSE66302	26028532	PMC4472038
SRP096884	GSE93705		
SRP064375			
SRP065571	GSE74556	27056911	
SRP129961			
SRP070880	GSE78701	26880751	PMC4992946
SRP058260	GSE68815	27094684	PMC4837395
SRP067311			
SRP183166	GSE126009		
SRP133789	GSE111320	29929942	
ERP104371			
SRP075719	GSE81904	27565351	PMC5003425
SRP059963	GSE70404	26840567	PMC4905463
SRP010647	GSE35420	23376982	
ERP007022			
SRP082228	GSE85714	28722115	
ERP022368			
ERP003617			
SRP055718	GSE66430	27094239	PMC4959966
SRP009822	GSE34433	22799740	PMC3410764
SRP050397	GSE63755	25500883	PMC4382239
SRP149753			
SRP066811	GSE75515	29405118	PMC5800842
SRP064527	GSE73784	27053337	PMC4889976
SRP041036	GSE56623	24813887	
SRP002176	GSE21116	21398260	PMC3091051
SRP162285			
SRP006750	GSE29134	29078418	PMC5692608
SRP035419	GSE54114	24582499	
ERP106633			
SRP073774			
SRP064464	GSE73727	27916275	PMC5236063
SRP010036	GSE34638		
ERP015568			
SRP051595	GSE64550		
ERP109432			
SRP036769	GSE54729	25453902	PMC4327935
SRP068735	GSE77105	26850657	PMC4838571
SRP009067	GSE33154	22916029	PMC3420953
SRP076718	GSE83481	27824062	PMC5099898
SRP042249	GSE57961	26051518	
SRP066619	GSE75354	26823433	PMC4868069
SRP067400	GSE76023	27912097	PMC5137794
GSE46545	E-GEOD-46545	24389103	
SRP106621			
SRP002245	GSE21227	20404130	PMC2892091
SRP076106	GSE82240		
SRP105943			
SRP032833	GSE52248	24735754	PMC4074881
SRP062188	GSE71862	26415882	PMC4587679
SRP123191			
SRP042647		23267107	PMC3549127
SRP057498			
SRP067516			
SRP168392	GSE122403		
SRP018228	GSE43727	23613738	PMC3629204
SRP105617			
SRP063414	GSE72761	27287799	PMC4958331
SRP047251	GSE61515	25873175	PMC4398915
SRP111110			
SRP132513			
SRP010280	GSE34995	22574288	PMC3345519
SRP047252	GSE61517	29976658	PMC6096831
ERP110052			
SRP166095	GSE121476	30395643	PMC6237423
SRP033206	GSE52575	25223788	PMC4191393
SRP050533	GSE63840	25601205	PMC4325230
