pmc_ID,accession,real_introducer
PMC8396257,GSE162665,PMC8396257
PMC8396257,GSE182072,PMC8396257
PMC8396257,GSE182076,PMC8396257
PMC6193063,GSE104886,PMC6193063
PMC5788347,GSE102734,PMC5788347
PMC4659474,GSE63900,PMC4659474
PMC7464653,GSE152870,PMC7464653
PMC6028538,GSE106768,PMC6028538
PMC8267473,GSE167933,PMC8267473
PMC5414197,GSE94779,PMC5414197
PMC3853033,GSE37131,PMC3853033
PMC2956710,GSM458907,PMC2956710
PMC2956710,GSM458908,PMC2956710
PMC2956710,GSM458909,PMC2956710
PMC2956710,GSM458910,PMC2956710
PMC2956710,GSM458906,PMC2956710
PMC2956710,GSM458903,PMC2956710
PMC2956710,GSM458904,PMC2956710
PMC2956710,GSM458905,PMC2956710
PMC2956710,GSE18402,PMC2956710
PMC2956710,GSM458902,PMC2956710
PMC8795432,GSE180384,PMC8795432
PMC8795432,GSE180752,PMC8795432
PMC4965549,GSE79923,PMC4965549
PMC8024250,GSE160010,PMC8024250
PMC3484025,GSE35974,PMC4018461
PMC3484025,GSE35977,PMC4018461
PMC3997488,GSE55402,PMC3997488
PMC3371710,GSE33216,PMC3371710
PMC8033538,GSE106216,PMC8033538
PMC8210094,GSE157608,PMC8210094
PMC3504121,GSM918083,PMC3504121
PMC3504121,GSM918082,PMC3504121
PMC3504121,GSM918075,PMC3504121
PMC3504121,GSM918084,PMC3504121
PMC3504121,GSM918077,PMC3504121
PMC3504121,GSM918076,PMC3504121
PMC3504121,GSM918085,PMC3504121
PMC3504121,GSM918081,PMC3504121
PMC3504121,GSM918079,PMC3504121
PMC3504121,GSM918080,PMC3504121
PMC3504121,GSM918078,PMC3504121
PMC3504121,GSE37408,PMC3504121
PMC3504121,GSM918087,PMC3504121
PMC3504121,GSM918088,PMC3504121
PMC3504121,GSM918073,PMC3504121
PMC3504121,GSM918074,PMC3504121
PMC3504121,GSM918072,PMC3504121
PMC3504121,GSM918089,PMC3504121
PMC4612095,GSE72370,PMC4612095
PMC4612095,GSE72367,PMC4612095
PMC4612095,GSE72368,PMC4612095
PMC4612095,GSE72369,PMC4612095
PMC4636799,GSE68071,NaN
PMC4414449,GSE65465,PMC4414449
PMC5529408,GSE94793,PMC5529408
PMC3948607,GSE44100,PMC3948607
PMC4178178,GSE58216,NaN
PMC2212557,GSM208582,PMC2212557
PMC2212557,GSM208581,PMC2212557
PMC2212557,GSM208580,PMC2212557
PMC2212557,GSM207551,PMC2212557
PMC2212557,GSM208583,PMC2212557
PMC2212557,GSM207801,GSM207801
PMC2212557,GSM207802,GSM207801
PMC2212557,GSE8406,GSM207801
PMC2212557,GSM207800,GSM207801
PMC2212557,GSM208584,GSM207801
PMC2212557,GSM207798,GSM207801
PMC2212557,GSM207807,GSM207801
PMC2212557,GSM208574,GSM207801
PMC2212557,GSM207809,GSM207801
PMC2212557,GSM207808,GSM207801
PMC2212557,GSM207804,GSM207801
PMC2212557,GSM207803,GSM207801
PMC2212557,GSM207557,GSM207801
PMC2212557,GSM207796,GSM207801
PMC2212557,GSM207813,GSM207801
PMC2212557,GSM207797,GSM207801
PMC2212557,GSM207805,GSM207801
PMC2212557,GSM207799,GSM207801
PMC2212557,GSM207556,GSM207801
PMC2212557,GSM207806,GSM207801
PMC2212557,GSM207812,GSM207801
PMC2212557,GSM207548,GSM207801
PMC2212557,GSM208578,GSM207801
PMC2212557,GSM208575,GSM207801
PMC2212557,GSM207549,GSM207801
PMC2212557,GSM208577,GSM208577
PMC2212557,GSM207555,GSM208577
PMC2212557,GSM207552,GSM208577
PMC2212557,GSM207554,GSM208577
PMC2212557,GSM208576,GSM208577
PMC2212557,GSM207810,GSM208577
PMC2212557,GSM207811,GSM208577
PMC2212557,GSM207553,GSM208577
PMC2212557,GSM208579,GSM208577
PMC2212557,GSM207550,GSM208577
PMC4821649,GSE77886,PMC4821649
PMC6820751,GSE129848,NaN
PMC6820751,GSE129874,NaN
PMC7510138,GSE141484,PMC7510138
PMC7510138,GSE141314,PMC7510138
PMC5561256,GSE92567,PMC5561256
PMC8784116,GSE186898,PMC8784116
PMC6986877,GSE108880,PMC6986877
PMC2711080,GSE16031,PMC2711080
PMC8802762,GSE185668,PMC8802762
PMC8802762,GSE185876,PMC8802762
PMC7445300,GSE136159,PMC7445300
PMC6277851,GSE120247,PMC6277851
PMC7049718,GSE137484,PMC7049718
PMC7049718,GSE137485,PMC7049718
PMC7049718,GSE137648,PMC7049718
PMC5590826,GSE100851,PMC5590826
PMC2686271,GSE15950,PMC2686271
PMC2686271,GPL8520,PMC2686271
PMC4759560,GSE73740,PMC4759560
PMC7689214,GSE153089,PMC7689214
PMC8248535,GSE163416,PMC8248535
PMC7962346,GSE158388,PMC7962346
PMC4856968,GSE65228,PMC4856968
PMC4856968,GSE65225,PMC4856968
PMC4856968,GSE63769,PMC4856968
PMC4856968,GSE63729,PMC4856968
PMC4856968,GSE57467,PMC4856968
PMC4856968,GSE64006,PMC4856968
PMC6441886,GSE114604,PMC6441886
PMC3497032,GSE39905,PMC3497032
PMC4399147,GSE61949,PMC4399147
PMC2715088,GSE16199,PMC2715088
PMC2715088,GSM406557,PMC2715088
PMC2715088,GSM406556,PMC2715088
PMC2797821,GSE16400,PMC2797821
PMC7939527,GSE136583,PMC7939527
PMC7939527,GSE136380,PMC7939527
PMC7939527,GSE136319,PMC7939527
PMC7939527,GSE136247,PMC7939527
