pmc_ID,accession,real_introducer
PMC5141245,GSE71810,
PMC3843111,GSE34483,
PMC7047281,GSE130084,
PMC3448701,GSE28582,
PMC8573346,GSE160516,
PMC4549902,GPL19458,
PMC4549902,GSE63622,
PMC1475850,GSE1818,
PMC1475850,GPL2614,
PMC1475850,GSE2900,
PMC2398777,GSM201144,
PMC2398777,GSM201138,
PMC2398777,GSM201139,
PMC2398777,GSM201140,
PMC2398777,GSM201143,
PMC2398777,GSM201142,
PMC2398777,GSM201141,
PMC2398777,GSM201145,
PMC2398777,GSM201137,
PMC2398777,GSM210390,
PMC2398777,GSM210409,
PMC2398777,GSM210391,
PMC2398777,GSM210410,
PMC2398777,GSM210397,
PMC2398777,GSM210389,
PMC2398777,GSM210388,
PMC2398777,GSM210387,
PMC2398777,GSM210386,
PMC2398777,GSM210385,
PMC2398777,GSM210411,
PMC2398777,GSM210408,
PMC2398777,GSM210406,
PMC2398777,GSM210407,
PMC2398777,GSM210396,
PMC2398777,GSM210399,
PMC2398777,GSM210400,
PMC2398777,GSM210401,
PMC2398777,GSM210395,
PMC2398777,GSM210394,
PMC2398777,GSM210393,
PMC2398777,GSM210402,
PMC2398777,GSM210392,
PMC2398777,GSM210405,
PMC2398777,GSM210398,
PMC2398777,GSM210383,
PMC2398777,GSM210381,
PMC2398777,GSE8481,
PMC2398777,GSM210367,
PMC2398777,GSM210379,
PMC2398777,GSM210378,
PMC2398777,GSM210413,
PMC2398777,GSM210375,
PMC2398777,GSM210373,
PMC2398777,GSM210371,
PMC2398777,GSM210370,
PMC2398777,GSM210369,
PMC2398777,GSM210368,
PMC2398777,GSM210366,
PMC2398777,GSM210365,
PMC2398777,GSM210364,
PMC2398777,GSM210363,
PMC2398777,GSM210362,
PMC2398777,GSM210361,
PMC2398777,GSM210423,
PMC2398777,GSM210418,
PMC2398777,GSM210416,
PMC2398777,GSM210419,
PMC2398777,GSM210422,
PMC2398777,GSM210421,
PMC2398777,GSM210420,
PMC2398777,GSM210417,
PMC2398777,GSM210414,
PMC2398777,GSM210415,
PMC7921392,GSE148941,
PMC7921392,GSE148942,
PMC7921392,GSE148940,
PMC6528258,GSE118596,
PMC7904261,GSE151153,
PMC7904261,GSE151240,
PMC8100287,GSE134299,
PMC8100287,GSE134297,
PMC8100287,GSE134298,
PMC5379667,GSE77872,
PMC6506518,GSE117583,
PMC4009606,GSE49412,
PMC4009606,GSE49808,
PMC4917962,GSE67132,
PMC4031077,GSE42929,
PMC2894042,GSE16397,
PMC7909289,GSE143760,
PMC6105652,GSE102488,
PMC3734234,GSM874413,
PMC3734234,GSM874415,
PMC3734234,GSM724741,
PMC3734234,GSM724739,
PMC3597546,GSE37858,
PMC3597546,GSM929091,
PMC4121359,GSE39775,
PMC6727750,GSE119087,
PMC6727750,GSE119085,
PMC6727750,GSE119083,
PMC6727750,GSE119084,
PMC6727750,GSE119128,
PMC5207757,SRR3111595,
PMC5207757,SRR3111594,
PMC5207757,SRR3111592,
PMC5207757,SRR3111596,
PMC5207757,SRR3111597,
PMC5207757,SRR3111598,
PMC5207757,SRR3111599,
PMC5207757,SRR3111600,
PMC5207757,SRR3111601,
PMC5207757,SRR3111602,
PMC5207757,SRR3111603,
PMC5207757,SRR3111593,
PMC5207757,SRR3111591,
PMC5207757,SRP068722,
PMC5207757,SRR3111582,
PMC5207757,SRR3111583,
PMC5207757,SRR3111584,
PMC5207757,SRR3111585,
PMC5207757,SRR3111590,
PMC5207757,SRR3111586,
PMC5207757,SRR3111587,
PMC5207757,SRR3111588,
PMC5207757,SRR3111605,
PMC5207757,SRR3111589,
PMC5207757,SRR3111604,
PMC5207757,SRR3111611,
PMC5207757,SRR3111606,
PMC5207757,SRR3111607,
PMC5207757,SRR3111618,
PMC5207757,SRR3111608,
PMC5207757,SRR3111609,
PMC5207757,SRR3111610,
PMC5207757,SRR3111612,
PMC5207757,SRR3111613,
PMC5207757,SRR3111614,
PMC5207757,SRR3111616,
PMC5207757,SRR3111617,
PMC5207757,SRR3111619,
PMC5207757,SRR3111620,
PMC5207757,SRR3111621,
PMC5207757,SRR3111622,
PMC2848842,GSM511182,
PMC2848842,GSM511181,
PMC2848842,GSM511180,
PMC2848842,GSM511178,
PMC2848842,GSM511179,
PMC2848842,GSM511176,
PMC2848842,GSM511177,
PMC2848842,GSM511174,
PMC2848842,GSM511175,
PMC2848842,GSM511173,
PMC2848842,GSM511172,
PMC2848842,GSM511171,
PMC2848842,GSM511170,
PMC2848842,GSM511169,
PMC2848842,GSM511168,
PMC2848842,GSM511167,
PMC2848842,GSM511183,
PMC2848842,GSM511184,
PMC2848842,GSM511165,
PMC2848842,GSM511166,
PMC2848842,GSM511164,
PMC2848842,GSE20406,
PMC3826595,GSE45435,
PMC3826595,GSE45434,
PMC3826595,GSE45267,
PMC3826595,GSE45436,
PMC5830912,GSE107694,
PMC4838890,GSE71114,
PMC3264656,GSE34132,
PMC3701326,GSE35805,
PMC3257605,GSE18619,
PMC3257605,GPL9461,
PMC6625065,GSE128914,
PMC4372517,GSE58463,
PMC3091707,GSE24156,
PMC4822960,GSE73330,
PMC7403583,GSE147521,
PMC3817159,GSE45990,
PMC3817159,GSE46050,
PMC4283999,GSE56833,
PMC3219601,GSE31151,
PMC4931989,GSE52744,
PMC4335692,GSE47055,
PMC4839774,GSE75276,
PMC3312346,GSE31501,
PMC3312346,GSE31505,
PMC3312346,GSE31508,
PMC3312346,GSE31514,
PMC3312346,GSE31516,
PMC3312346,GSE31518,
PMC3312346,GSE31499,
PMC3312346,GSE31469,
PMC3312346,GSE31474,
PMC4476686,GSE68148,
PMC2921407,GSM534862,
PMC2921407,GSM534971,
PMC3670871,GSE41726,
PMC6679941,GSE131883,
PMC5832932,GSE106311,
